iter	Passed	Remaining
0	179	179030
1	185	92789
2	191	63602
3	197	49087
4	203	40550
5	209	34775
6	216	30673
7	223	27772
8	230	25380
9	236	23444
10	243	21905
11	249	20566
12	256	19491
13	263	18523
14	269	17699
15	275	16970
16	282	16326
17	288	15737
18	294	15220
19	301	14779
20	307	14320
21	313	13935
22	320	13621
23	326	13277
24	332	12986
25	339	12715
26	345	12458
27	351	12212
28	357	11983
29	363	11768
30	369	11560
31	375	11364
32	381	11189
33	387	11013
34	393	10856
35	399	10704
36	405	10559
37	411	10416
38	417	10284
39	422	10151
40	428	10034
41	435	9924
42	441	9831
43	447	9733
44	454	9639
45	460	9546
46	466	9453
47	472	9367
48	477	9274
49	483	9190
50	490	9123
51	496	9054
52	502	8971
53	508	8899
54	514	8834
55	520	8782
56	527	8728
57	533	8663
58	539	8600
59	545	8545
60	551	8487
61	557	8435
62	563	8384
63	570	8345
64	577	8307
65	583	8256
66	589	8214
67	595	8167
68	602	8133
69	609	8098
70	615	8057
71	622	8018
72	628	7977
73	634	7933
74	639	7889
75	645	7846
76	650	7803
77	657	7766
78	663	7730
79	668	7691
80	674	7655
81	680	7621
82	687	7593
83	693	7563
84	699	7530
85	705	7498
86	711	7471
87	717	7438
88	723	7404
89	729	7373
90	735	7347
91	741	7321
92	747	7294
93	754	7268
94	759	7239
95	765	7211
96	771	7182
97	777	7154
98	783	7127
99	788	7097
100	794	7070
101	800	7046
102	806	7019
103	811	6995
104	818	6972
105	823	6948
106	830	6931
107	835	6903
108	841	6879
109	847	6857
110	853	6833
111	859	6811
112	864	6788
113	870	6764
114	876	6743
115	882	6723
116	888	6703
117	893	6680
118	899	6658
119	904	6635
120	910	6614
121	915	6591
122	921	6569
123	926	6548
124	932	6527
125	938	6509
126	943	6488
127	949	6470
128	955	6451
129	961	6433
130	967	6417
131	973	6399
132	978	6380
133	984	6364
134	990	6348
135	997	6335
136	1003	6320
137	1009	6306
138	1015	6292
139	1021	6275
140	1027	6259
141	1033	6242
142	1038	6226
143	1044	6211
144	1051	6197
145	1057	6182
146	1062	6167
147	1068	6151
148	1073	6132
149	1079	6116
150	1084	6099
151	1090	6082
152	1096	6071
153	1103	6059
154	1109	6049
155	1116	6038
156	1121	6020
157	1126	6003
158	1131	5987
159	1137	5972
160	1143	5958
161	1148	5942
162	1154	5928
163	1160	5915
164	1166	5902
165	1171	5887
166	1177	5874
167	1183	5861
168	1188	5846
169	1194	5833
170	1200	5819
171	1206	5809
172	1212	5796
173	1217	5781
174	1224	5772
175	1230	5760
176	1236	5748
177	1242	5737
178	1248	5724
179	1254	5715
180	1260	5705
181	1266	5692
182	1272	5681
183	1277	5667
184	1283	5654
185	1289	5642
186	1294	5629
187	1300	5617
188	1306	5605
189	1312	5593
190	1317	5580
191	1323	5570
192	1329	5559
193	1335	5549
194	1341	5538
195	1347	5526
196	1353	5517
197	1359	5506
198	1364	5492
199	1370	5481
200	1375	5469
201	1381	5458
202	1387	5446
203	1392	5434
204	1398	5423
205	1404	5413
206	1410	5404
207	1416	5392
208	1421	5381
209	1427	5371
210	1433	5359
211	1439	5350
212	1445	5339
213	1451	5330
214	1457	5320
215	1463	5310
216	1468	5300
217	1474	5288
218	1479	5277
219	1485	5267
220	1491	5258
221	1497	5248
222	1502	5235
223	1508	5226
224	1514	5215
225	1519	5204
226	1525	5193
227	1530	5182
228	1536	5173
229	1541	5162
230	1548	5153
231	1553	5143
232	1560	5135
233	1566	5127
234	1571	5116
235	1577	5108
236	1583	5098
237	1589	5087
238	1594	5078
239	1600	5067
240	1606	5058
241	1611	5048
242	1617	5037
243	1623	5029
244	1628	5018
245	1634	5009
246	1640	5000
247	1646	4992
248	1652	4983
249	1658	4974
250	1664	4966
251	1669	4956
252	1675	4947
253	1681	4938
254	1687	4930
255	1694	4923
256	1700	4915
257	1706	4906
258	1711	4896
259	1717	4887
260	1723	4879
261	1728	4869
262	1734	4860
263	1740	4851
264	1746	4842
